Epoch [1/60], Loss: 1.3666
Validation Loss: 1.3359, Validation Accuracy: 33.9478%
Epoch [2/60], Loss: 1.3505
Validation Loss: 1.3285, Validation Accuracy: 34.1014%
Epoch [3/60], Loss: 1.3407
Validation Loss: 1.3228, Validation Accuracy: 34.3318%
Epoch [4/60], Loss: 1.3398
Validation Loss: 1.3197, Validation Accuracy: 34.5622%
Epoch [5/60], Loss: 1.3359
Validation Loss: 1.3162, Validation Accuracy: 35.2535%
Epoch [6/60], Loss: 1.3307
Validation Loss: 1.3120, Validation Accuracy: 35.1767%
Epoch [7/60], Loss: 1.3272
Validation Loss: 1.3080, Validation Accuracy: 35.9447%
Epoch [8/60], Loss: 1.3227
Validation Loss: 1.3032, Validation Accuracy: 36.2519%
Epoch [9/60], Loss: 1.3214
Validation Loss: 1.2994, Validation Accuracy: 37.7112%
Epoch [10/60], Loss: 1.3157
Validation Loss: 1.2952, Validation Accuracy: 39.0937%
Epoch [11/60], Loss: 1.3096
Validation Loss: 1.2907, Validation Accuracy: 39.7849%
Epoch [12/60], Loss: 1.3087
Validation Loss: 1.2858, Validation Accuracy: 40.1690%
Epoch [13/60], Loss: 1.3036
Validation Loss: 1.2812, Validation Accuracy: 40.9370%
Epoch [14/60], Loss: 1.2973
Validation Loss: 1.2763, Validation Accuracy: 41.3978%
Epoch [15/60], Loss: 1.2929
Validation Loss: 1.2715, Validation Accuracy: 41.9355%
Epoch [16/60], Loss: 1.2887
Validation Loss: 1.2657, Validation Accuracy: 42.6267%
Epoch [17/60], Loss: 1.2822
Validation Loss: 1.2603, Validation Accuracy: 42.7803%
Epoch [18/60], Loss: 1.2767
Validation Loss: 1.2548, Validation Accuracy: 43.6252%
Epoch [19/60], Loss: 1.2725
Validation Loss: 1.2495, Validation Accuracy: 44.2396%
Epoch [20/60], Loss: 1.2651
Validation Loss: 1.2442, Validation Accuracy: 44.5469%
Epoch [21/60], Loss: 1.2615
Validation Loss: 1.2391, Validation Accuracy: 45.3149%
Epoch [22/60], Loss: 1.2572
Validation Loss: 1.2340, Validation Accuracy: 45.6221%
Epoch [23/60], Loss: 1.2518
Validation Loss: 1.2293, Validation Accuracy: 46.2366%
Epoch [24/60], Loss: 1.2440
Validation Loss: 1.2243, Validation Accuracy: 46.6206%
Epoch [25/60], Loss: 1.2420
Validation Loss: 1.2199, Validation Accuracy: 46.4670%
Epoch [26/60], Loss: 1.2385
Validation Loss: 1.2155, Validation Accuracy: 46.5438%
Epoch [27/60], Loss: 1.2332
Validation Loss: 1.2113, Validation Accuracy: 46.6206%
Epoch [28/60], Loss: 1.2272
Validation Loss: 1.2079, Validation Accuracy: 47.0046%
Epoch [29/60], Loss: 1.2271
Validation Loss: 1.2046, Validation Accuracy: 47.1582%
Epoch [30/60], Loss: 1.2186
Validation Loss: 1.2010, Validation Accuracy: 47.0814%
Epoch [31/60], Loss: 1.2191
Validation Loss: 1.1978, Validation Accuracy: 47.4654%
Epoch [32/60], Loss: 1.2135
Validation Loss: 1.1946, Validation Accuracy: 47.3886%
Epoch [33/60], Loss: 1.2088
Validation Loss: 1.1923, Validation Accuracy: 47.7727%
Epoch [34/60], Loss: 1.2076
Validation Loss: 1.1903, Validation Accuracy: 47.9263%
Epoch [35/60], Loss: 1.2028
Validation Loss: 1.1870, Validation Accuracy: 47.6190%
Epoch [36/60], Loss: 1.2001
Validation Loss: 1.1847, Validation Accuracy: 48.1567%
Epoch [37/60], Loss: 1.1968
Validation Loss: 1.1823, Validation Accuracy: 48.0799%
Epoch [38/60], Loss: 1.1945
Validation Loss: 1.1807, Validation Accuracy: 48.2335%
Epoch [39/60], Loss: 1.1934
Validation Loss: 1.1785, Validation Accuracy: 48.3103%
Epoch [40/60], Loss: 1.1892
Validation Loss: 1.1776, Validation Accuracy: 48.4639%
Epoch [41/60], Loss: 1.1897
Validation Loss: 1.1760, Validation Accuracy: 48.3103%
Epoch [42/60], Loss: 1.1826
Validation Loss: 1.1733, Validation Accuracy: 48.2335%
Epoch [43/60], Loss: 1.1842
Validation Loss: 1.1726, Validation Accuracy: 48.4639%
Epoch [44/60], Loss: 1.1823
Validation Loss: 1.1712, Validation Accuracy: 48.4639%
Epoch [45/60], Loss: 1.1803
Validation Loss: 1.1701, Validation Accuracy: 48.3871%
Epoch [46/60], Loss: 1.1750
Validation Loss: 1.1694, Validation Accuracy: 48.5407%
Epoch [47/60], Loss: 1.1739
Validation Loss: 1.1681, Validation Accuracy: 48.6943%
Epoch [48/60], Loss: 1.1756
Validation Loss: 1.1678, Validation Accuracy: 48.5407%
Epoch [49/60], Loss: 1.1742
Validation Loss: 1.1669, Validation Accuracy: 48.4639%
Epoch [50/60], Loss: 1.1706
Validation Loss: 1.1659, Validation Accuracy: 48.7711%
Epoch [51/60], Loss: 1.1712
Validation Loss: 1.1654, Validation Accuracy: 48.3871%
Epoch [52/60], Loss: 1.1716
Validation Loss: 1.1651, Validation Accuracy: 48.6175%
Epoch [53/60], Loss: 1.1656
Validation Loss: 1.1635, Validation Accuracy: 48.5407%
Epoch [54/60], Loss: 1.1660
Validation Loss: 1.1630, Validation Accuracy: 48.6175%
Epoch [55/60], Loss: 1.1682
Validation Loss: 1.1630, Validation Accuracy: 48.5407%
Epoch [56/60], Loss: 1.1652
Validation Loss: 1.1619, Validation Accuracy: 48.3103%
Epoch [57/60], Loss: 1.1633
Validation Loss: 1.1617, Validation Accuracy: 48.4639%
Epoch [58/60], Loss: 1.1598
Validation Loss: 1.1608, Validation Accuracy: 48.3871%
